V,IGS Indo,IGS Voltando
-0.6,-1.90461e-05,
-0.58,-1.3033930000000001e-05,
-0.56,-9.88881e-06,
-0.54,-7.638133e-06,
-0.52,-6.104707e-06,
-0.5,-4.648367e-06,
-0.48,-3.536543e-06,
-0.46,-2.65678e-06,
-0.44,-1.955827e-06,
-0.42,-1.2679900000000001e-06,
-0.4,-4.62532e-07,
-0.38,-6.31808e-08,
-0.36,2.1735829999999998e-07,
-0.34,5.018713000000001e-07,
-0.32,7.915497e-07,
-0.3,1.126923e-06,
-0.28,1.4034900000000001e-06,
-0.26,1.6160800000000002e-06,
-0.24,1.877943e-06,
-0.22,1.848537e-06,
-0.2,2.137023e-06,
-0.18,2.334513e-06,
-0.16,2.507767e-06,
-0.14,2.702077e-06,
-0.12,2.82367e-06,
-0.1,2.961953e-06,
-0.08,3.12209e-06,
-0.06,3.270703e-06,
-0.04,3.4300500000000003e-06,
-0.02,3.661313e-06,
0.0,3.836553e-06,
0.02,3.9974830000000004e-06,
0.04,4.329287e-06,
0.06,4.537107e-06,
0.08,4.7286369999999995e-06,
0.1,5.011957e-06,
0.12,5.26786e-06,
0.14,5.556743e-06,
0.16,5.746683e-06,
0.18,6.081663e-06,
0.2,6.441673e-06,
0.22,6.678107e-06,
0.24,7.026593e-06,
0.26,7.266203e-06,
0.28,7.645687e-06,
0.3,7.956427000000001e-06,
0.32,8.432862999999999e-06,
0.34,8.854867e-06,
0.36,8.903743e-06,
0.38,9.5582e-06,
0.4,1.0200749999999999e-05,
0.42,1.076063e-05,
0.44,1.1484629999999999e-05,
0.46,1.22996e-05,
0.48,1.31651e-05,
0.5,1.412233e-05,
0.52,1.532117e-05,
0.54,1.669367e-05,
0.56,1.8212800000000003e-05,
0.58,1.998903e-05,
0.6,2.21364e-05,
0.58,,1.31778e-05
0.56,,8.28743e-06
0.54,,5.02825e-06
0.52,,2.618233e-06
0.5,,3.71933e-07
0.48,,-7.216137e-07
0.46,,-1.8457600000000001e-06
0.44,,-2.851487e-06
0.42,,-3.61522e-06
0.4,,-4.360673e-06
0.38,,-5.048513e-06
0.36,,-5.592107e-06
0.34,,-6.08365e-06
0.32,,-6.483397e-06
0.3,,-6.882747e-06
0.28,,-7.289650000000001e-06
0.26,,-7.197857e-06
0.24,,-7.592443e-06
0.22,,-7.91788e-06
0.2,,-8.111797e-06
0.18,,-8.28425e-06
0.16,,-8.398293e-06
0.14,,-8.565187e-06
0.12,,-8.657377e-06
0.1,,-8.720557e-06
0.08,,-8.77261e-06
0.06,,-8.844137e-06
0.04,,-8.899767e-06
0.02,,-8.877517e-06
0.0,,-8.898177e-06
-0.02,,-8.90533e-06
-0.04,,-8.952613e-06
-0.06,,-9.02891e-06
-0.08,,-9.019770000000001e-06
-0.1,,-9.142557e-06
-0.12,,-9.191433e-06
-0.14,,-9.274083e-06
-0.16,,-9.387729999999999e-06
-0.18,,-9.556217e-06
-0.2,,-9.737013e-06
-0.22,,-9.913430000000001e-06
-0.24,,-1.01177e-05
-0.26,,-1.037123e-05
-0.28,,-1.07229e-05
-0.3,,-1.1024070000000001e-05
-0.32,,-1.098393e-05
-0.34,,-1.15025e-05
-0.36,,-1.177587e-05
-0.38,,-1.225907e-05
-0.4,,-1.281973e-05
-0.42,,-1.3368499999999999e-05
-0.44,,-1.396973e-05
-0.46,,-1.46552e-05
-0.48,,-1.54038e-05
-0.5,,-1.62089e-05
-0.52,,-1.7193169999999998e-05
-0.54,,-1.815517e-05
-0.56,,-1.9199070000000002e-05
-0.58,,-2.0399930000000003e-05
-0.6,,-2.16969e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
