V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-1.069424999999933e-05,
-0.56,-1.0939000000000608e-05,
-0.54,-1.0936500000000189e-05,
-0.52,-1.1256000000000287e-05,
-0.5,-1.2033500000000006e-05,
-0.48,-1.2419999999999966e-05,
-0.46,-1.2711499999999622e-05,
-0.44,-1.2981500000000187e-05,
-0.42,-1.31949999999997e-05,
-0.4,-1.3401000000000125e-05,
-0.38,-1.3574249999999573e-05,
-0.36,-1.3747499999999888e-05,
-0.34,-1.3810000000000384e-05,
-0.32,-1.3760749999999853e-05,
-0.3,-1.387249999999958e-05,
-0.28,-1.394825000000004e-05,
-0.26,-1.3752500000000292e-05,
-0.24,-1.364424999999959e-05,
-0.22,-1.3587499999999971e-05,
-0.2,-1.3152500000000386e-05,
-0.18,-1.2590749999999862e-05,
-0.16,-1.237999999999977e-05,
-0.14,-1.2158500000000131e-05,
-0.12,-1.1494999999999821e-05,
-0.1,-1.1115749999999515e-05,
-0.08,-1.065500000000004e-05,
-0.06,-9.819250000000189e-06,
-0.04,-9.109250000000069e-06,
-0.02,-8.34574999999992e-06,
0.0,-7.74900000000047e-06,
0.02,-7.205000000000145e-06,
0.04,-6.626749999999633e-06,
0.06,-5.986749999999531e-06,
0.08,-5.2575000000004354e-06,
0.1,-4.49999999999973e-06,
0.12,-3.90174999999977e-06,
0.14,-3.3732499999999596e-06,
0.16,-2.781500000000048e-06,
0.18,-2.2892499999998053e-06,
0.2,-1.7817499999997835e-06,
0.22,-1.2800000000002046e-06,
0.24,-9.167500000001501e-07,
0.26,-3.632500000000545e-07,
0.28,1.0850000000013627e-07,
0.3,4.1174999999967973e-07,
0.32,8.307499999994465e-07,
0.34,1.0007500000001716e-06,
0.36,1.2567500000002993e-06,
0.38,1.903250000000016e-06,
0.4,2.2515000000001596e-06,
0.42,2.476749999999993e-06,
0.44,2.7584999999995773e-06,
0.46,3.205000000000048e-06,
0.48,3.5775000000000043e-06,
0.5,3.592499999999915e-06,
0.52,3.921499999999783e-06,
0.54,3.925000000000109e-06,
0.56,3.928500000000435e-06,
0.58,4.0182499999995985e-06,
0.6,,
0.58,,6.26149999999933e-06
0.56,,6.131000000000365e-06
0.54,,5.885000000000178e-06
0.52,,5.553999999999629e-06
0.5,,5.412499999999949e-06
0.48,,5.1460000000001435e-06
0.46,,4.939250000000114e-06
0.44,,4.698249999999897e-06
0.42,,4.406749999999807e-06
0.4,,4.1492500000004685e-06
0.38,,3.883249999999967e-06
0.36,,3.7414999999995507e-06
0.34,,3.408250000000619e-06
0.32,,3.132500000000045e-06
0.3,,2.999999999999531e-06
0.28,,2.7492499999996756e-06
0.26,,2.458500000000058e-06
0.24,,2.0482500000000223e-06
0.22,,1.649999999999742e-06
0.2,,1.299250000000047e-06
0.18,,9.024999999998444e-07
0.16,,4.6075000000034283e-07
0.14,,-1.674999999998726e-07
0.12,,-8.040000000000824e-07
0.1,,-1.3609999999996368e-06
0.08,,-2.0309999999999946e-06
0.06,,-2.878999999999469e-06
0.04,,-3.624999999999722e-06
0.02,,-4.349999999999753e-06
0.0,,-5.245750000000115e-06
-0.02,,-6.2425000000002236e-06
-0.04,,-7.491750000000134e-06
-0.06,,-8.436000000000988e-06
-0.08,,-9.17574999999976e-06
-0.1,,-1.0157499999999958e-05
-0.12,,-1.1078249999999738e-05
-0.14,,-1.2008250000000286e-05
-0.16,,-1.2849249999999975e-05
-0.18,,-1.3796749999999986e-05
-0.2,,-1.4676749999999964e-05
-0.22,,-1.532150000000017e-05
-0.24,,-1.5846500000000086e-05
-0.26,,-1.6275000000000057e-05
-0.28,,-1.6806749999999458e-05
-0.3,,-1.7486749999999756e-05
-0.32,,-1.8058249999999918e-05
-0.34,,-1.8112499999999553e-05
-0.36,,-1.8255000000000007e-05
-0.38,,-1.8363250000000275e-05
-0.4,,-1.818600000000033e-05
-0.42,,-1.8262499999999963e-05
-0.44,,-1.821649999999989e-05
-0.46,,-1.8056750000000274e-05
-0.48,,-1.780249999999966e-05
-0.5,,-1.736500000000009e-05
-0.52,,-1.685675000000046e-05
-0.54,,-1.620425e-05
-0.56,,-1.576075000000012e-05
-0.58,,-1.508074999999982e-05
-0.6,,-1.4513500000000199e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
