Type,Electrolyte,IDSmed (10s - 160s) [A],IDSmed (10s - 160s) [A],IGSmed (10s - 160s) [A],IGSmed (10s - 160s) [A],IDSant_pos (35s - 50s) [A],IDSant_pos (35s - 50s) [A],IDSdep_pos (150s - 165s) [A],IDSdep_pos (150s - 165s) [A],delIDS_pos [A],delIDS_pos [A],IGSant_pos (35s - 50s) [A],IGSant_pos (35s - 50s) [A],IGSdur_pos (75s - 85s) [A],IGSdur_pos (75s - 85s) [A],IGSdep_pos (150s - 165s) [A],IGSdep_pos (150s - 165s) [A],delIGS_pos [A],delIGS_pos [A],IGS_pico_ant_pos [A],IGS_pico_ant_pos [A],IGS_pico_dep_pos [A],IGS_pico_dep_pos [A],IDSant_neg (35s - 50s) [A],IDSant_neg (35s - 50s) [A],IDSdep_neg (150s - 165s) [A],IDSdep_neg (150s - 165s) [A],delIDS_neg [A],delIDS_neg [A],IGSant_neg (35s - 50s) [A],IGSant_neg (35s - 50s) [A],IGSdur_neg (75s - 85s) [A],IGSdur_neg (75s - 85s) [A],IGSdep_neg (150s - 165s) [A],IGSdep_neg (150s - 165s) [A],delIGS_neg [A],delIGS_neg [A],IGS_pico_ant_neg [A],IGS_pico_ant_neg [A],IGS_pico_dep_neg [A],IGS_pico_dep_neg [A]
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Bicamada,KCl,8.800500156402737e-05,3.77888805857956e-06,-3.2367447596196576e-07,4.032351016295531e-08,8.758786196808511e-05,4.116581529457587e-06,9.16604315602837e-05,3.892674525273835e-06,4.0725695921985865e-06,3.786815804235907e-07,-2.0742211205673765e-07,1.8420590350257337e-08,-2.2008602310756975e-07,5.5859935901809265e-08,-2.9924919503546106e-07,6.41894621983486e-08,-9.182708297872343e-08,5.5018976786216614e-08,7.160503333333334e-06,2.1862074062936802e-07,-8.44002e-06,3.1540001379201056e-07,9.004471790780142e-05,3.959364824437219e-06,8.914094813829787e-05,4.164308555728824e-06,-9.037697695035613e-07,2.0519727981333945e-07,-1.873953454787234e-07,4.4760296821835425e-08,-5.007106666666668e-07,9.63927771566926e-08,-1.4008142872340427e-07,1.2204790299215362e-07,4.731391675531915e-08,7.959062963820909e-08,-8.1261e-06,3.686466569765682e-07,6.739300000000001e-06,2.4556475459642e-07
Bicamada,MgCl2,8.830303841642229e-05,9.356119544976262e-07,-3.794537766817738e-07,8.682365901574545e-08,8.851234228723405e-05,9.696955221496752e-07,9.237692960992906e-05,9.706104762952394e-07,3.8645873226950335e-06,1.1152279720378275e-07,-1.9153805806737594e-07,5.5097531133061505e-08,-1.5460793041168661e-07,1.543083120659878e-07,-2.2376044654255318e-07,1.1609080399368114e-07,-3.2222388475177285e-08,6.278535304239265e-08,7.947286666666667e-06,7.937703341227416e-08,-9.119513333333333e-06,3.8425570266859175e-07,9.046121285460994e-05,8.360527396875898e-07,8.996015168439717e-05,7.12231392501994e-07,-5.010611702127715e-07,1.8819181303816162e-07,-2.450132011524823e-07,1.1142465257369726e-07,-5.706846985391767e-07,9.504958651651558e-08,-2.095145380319149e-07,1.2037158935247707e-07,3.549866312056736e-08,1.9764042417291365e-08,-8.873143333333334e-06,2.7452526465397205e-07,7.740660000000001e-06,2.0277191842067294e-07
Cinco Camadas,KCl,6.218525620723363e-05,3.391980373684434e-07,-2.628155497822803e-07,1.0018263048445402e-07,6.209646675531915e-05,3.6313621239718336e-07,6.215341001773049e-05,3.602450448843462e-07,5.6943262411345034e-08,6.539581611596411e-09,-1.0007025851063833e-07,9.916414585253773e-08,-8.605866055776893e-08,1.0628951392439895e-07,-8.141734583333336e-08,4.572773175936933e-08,1.8652912677304982e-08,5.8234936705816605e-08,7.752580000000001e-06,2.1633396335295985e-07,-9.266533333333334e-06,3.7057387473125205e-07,6.22304e-05,3.388985386335585e-07,6.223463058510638e-05,3.0914656019519165e-07,4.230585106383301e-09,3.0429947967778634e-08,-1.0366349086879435e-07,1.708653348977185e-07,-3.894011820717131e-07,1.2592311315183817e-07,-5.552536906028371e-08,1.6970294508343045e-07,4.8138121808510616e-08,6.509018923949611e-08,-8.428096666666667e-06,1.1371479425885264e-07,6.7114833333333325e-06,5.541612791718075e-07
Enode,KCl,1.1026750824668978e-05,9.115021098609457e-07,-2.905759105216387e-07,1.8295163071558579e-07,1.1129970035460993e-05,9.327207898402353e-07,1.3984950088652481e-05,1.224053411331804e-06,2.854980053191488e-06,4.7395237499369576e-07,-2.2033632367021278e-07,2.2758056334227837e-07,-1.991253721115538e-07,2.232636383344356e-07,-1.8862116852836886e-07,2.415581006832279e-07,3.171515514184397e-08,3.526163651666384e-08,6.039936666666667e-06,2.2534381738431008e-07,-6.643933333333333e-06,6.1173268625547e-07,1.2309849379432626e-05,9.146262883294157e-07,1.1291331648936169e-05,8.101031902126557e-07,-1.018517730496455e-06,1.2782375641214424e-07,-2.1897311081560285e-07,2.395378330838865e-07,-5.408587211155378e-07,2.832616708168165e-07,-1.1461215780141847e-07,3.010241289350372e-07,1.043609530141844e-07,7.968058760758945e-08,-7.255873333333333e-06,6.906267685467553e-07,7.053216666666666e-06,4.6312969785291597e-07
Enode,MgCl2,1.015826463076513e-05,4.338333595051363e-07,-3.9084401386296995e-07,2.6826497278614893e-08,1.0304775203900709e-05,5.552526473607289e-07,1.3464345478723405e-05,9.807966334976602e-07,3.1595702748226936e-06,4.2554404525677983e-07,-2.6879162500000003e-07,4.957842759632595e-08,-1.7920975551128818e-07,9.227797564937914e-08,-1.8988941489361704e-07,1.0416860978901881e-07,7.890221010638297e-08,8.269687999815378e-08,5.328656666666667e-06,4.458783271626167e-07,-6.167093333333334e-06,4.198372848298889e-07,1.1420157003546099e-05,8.957847981790551e-07,1.086079934397163e-05,7.955054582518895e-07,-5.593576595744692e-07,5.533044820656985e-07,-3.6001625797872343e-07,9.263833520312215e-08,-6.521524262948207e-07,1.4398069395640033e-07,-2.393908945035461e-07,4.6148262946706016e-08,1.206253634751773e-07,4.67426630008371e-08,-6.81877e-06,7.029287278238103e-07,6.13928e-06,6.357365438607407e-07
PoliDopamina,KCl,9.706823836310316e-06,4.78825490776337e-06,-2.587026335777126e-07,9.797706414019164e-08,9.776940159574469e-06,4.574282418270227e-06,1.0174684135638297e-05,4.633974134820255e-06,3.977439760638289e-07,5.969171655002932e-08,-2.4702637167553194e-07,1.281219649560409e-07,-9.62223892430279e-08,2.0129744169180208e-07,-1.3796257154255322e-07,1.9232864011018368e-07,1.090638001329787e-07,6.420667515414279e-08,1.068709e-05,1.2728063482714083e-06,-1.0693100000000001e-05,8.935001287073215e-07,9.927091156914894e-06,4.7355148942710224e-06,9.913993989361702e-06,4.909701378442843e-06,-1.3097167553192055e-08,1.7418648417181865e-07,-2.2698899840425533e-07,1.1897518650442444e-07,-7.219524282868526e-07,2.7874028176558662e-08,-2.6235531515957458e-08,1.307223764722984e-07,2.007534668882979e-07,1.1747189967873893e-08,-1.3107049999999998e-05,7.839692883015258e-07,1.04189e-05,5.731807568298162e-07
Quatro Camadas,KCl,6.328187095885542e-05,6.419911575251885e-07,-4.199550903225806e-07,1.364712302431042e-07,6.323392180851064e-05,7.626228279379245e-07,6.333429893617021e-05,7.401442493342268e-07,1.0037712765957939e-07,2.5639291597288485e-08,-2.3722431099290782e-07,1.3087631288914558e-07,-2.511943405046481e-07,9.472560284673225e-08,-2.3077780744680855e-07,8.972204874262326e-08,6.4465035460992755e-09,7.016272002948181e-08,7.883706666666668e-06,3.7401125575754116e-07,-9.175143333333334e-06,1.627279921627905e-07,6.330121019503546e-05,7.408981331944147e-07,6.329068413120569e-05,7.649299449985329e-07,-1.0526063829776424e-08,2.4051767904405683e-08,-2.2613828271276602e-07,8.645165745221281e-08,-5.631174196547145e-07,7.662392052827613e-08,-2.772884419326241e-07,1.0987739415762907e-07,-5.115015921985813e-08,8.189273374864512e-08,-8.7897e-06,1.7695133257480785e-07,6.79493e-06,2.684185783436016e-07
Standard,KCl,7.612470207944548e-06,8.843753624820514e-07,-2.6283566338754116e-07,1.676475475580177e-07,7.604073679078014e-06,8.259669367332514e-07,1.0333481063829787e-05,1.136584712640504e-06,2.729407384751772e-06,3.107405183371163e-07,-2.4833151941489363e-07,9.192512205771333e-08,-1.5370561686586987e-07,6.712105222463146e-08,-2.051287429964539e-07,9.025000932715321e-08,4.3202776418439756e-08,2.4281412167588866e-08,9.862573333333334e-06,8.541717017867859e-07,-1.0446703333333334e-05,7.849866018177204e-07,8.470104512411346e-06,8.995245929269079e-07,7.90441130319149e-06,8.597906548418366e-07,-5.656932092198576e-07,5.643834679727791e-08,-2.780810556737589e-07,1.077945861730208e-07,-6.361945590969456e-07,9.718191570160987e-08,-1.7158531320921985e-07,7.821331860909147e-08,1.0649574246453899e-07,3.6492101454046693e-08,-1.1793766666666667e-05,8.719498055125271e-07,1.0466569999999999e-05,9.67776993268594e-07
Standard,MgCl2,1.0138248996711987e-05,2.731108209249408e-06,-1.6924897438016532e-07,9.310533934983306e-08,1.0509749530141843e-05,2.836861345214649e-06,1.3976897375886525e-05,3.7286193852277444e-06,3.4671478457446813e-06,9.351972803787869e-07,-1.566418427304965e-07,3.469189665164984e-08,-8.419055962815405e-08,8.527211395703832e-08,-1.643672191489362e-07,8.498848462199136e-08,-7.725376418439701e-09,5.833927135329126e-08,8.94467e-06,2.0451650813565105e-07,-9.910266666666667e-06,7.18550487671759e-08,1.1302447562056738e-05,3.227739747480524e-06,1.050659850177305e-05,2.968993717043554e-06,-7.95849060283688e-07,2.5886847050722784e-07,-1.7051791906028372e-07,3.156083029291741e-08,-5.255023678618858e-07,7.11465692826886e-08,-6.8481892730496445e-09,1.0005193823239972e-08,1.636697297872341e-07,2.745619219517343e-08,-1.2564666666666667e-05,3.0829651852288773e-07,9.902316666666667e-06,1.653214125070713e-07
Tricamada,KCl,6.633957264729405e-05,1.3158900298422583e-06,-3.966111252110548e-07,3.0514765413038974e-08,6.641744007092199e-05,1.2983292301055908e-06,6.676178634751773e-05,1.290873557794055e-06,3.443462765957445e-07,1.678767826608516e-08,-2.084577e-07,8.735474095024833e-08,-2.0371646069057108e-07,9.618583877851046e-08,-1.6652309086879433e-07,8.710352550297873e-08,4.193460913120569e-08,1.5418158385003252e-08,8.241333333333334e-06,1.0138840877207456e-07,-9.616216666666668e-06,8.373329465232676e-08,6.651243572695036e-05,1.3042233732058791e-06,6.650892180851063e-05,1.3157016907421992e-06,-3.5139184397252245e-09,9.524532801780082e-08,-2.2849504999999998e-07,5.377907565315735e-08,-5.574658446215141e-07,1.2624054981854692e-08,-2.435759085992908e-07,3.76249468031074e-08,-1.5080858599290798e-08,9.138394304845481e-08,-8.809566666666666e-06,5.092630024195101e-07,7.001556666666667e-06,8.114339426800819e-08
